name,brand,price,url,year,origin,transmission,body_type,engine,drive,mileage_km,seats,doors,exterior_color,interior_color,condition
Toyota Vios .5G,Toyota,385 Triệu,https://bonbanh.com/xe-toyota-vios-1.5g-2019-6387538,2019,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,8,5,4,Trắng,Kem,Xe đã dùng
Kia Cerato Luxury,Kia,530 Triệu,https://bonbanh.com/xe-kia-cerato-1.6-at-luxury-2021-6387699,2021,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.6 L,FWD - Dẫn động cầu trước,26500,5,4,Đỏ,-,Xe đã dùng
Dongben DB X30 V2S,Dongben,120 Triệu,https://bonbanh.com/xe-dongben-db_x30-v2s-2019-6387690,2019,Lắp ráp trong nước,Số tay,Van/Minivan,Xăng 1.5 L,FWD - Dẫn động cầu trước,34150,2,5,Trắng,-,Xe đã dùng
Mercedes Benz S class S450L,Mercedes,2 Tỷ 689 Triệu,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-2020-6088222,2020,Lắp ráp trong nước,Số tự động,Sedan,Xăng 3.0 L,RFD - Dẫn động cầu sau,29000,5,4,Đen,Nâu,Xe đã dùng
Toyota Corolla altis .8G,Toyota,265 Triệu,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2010-6387525,2010,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.8 L,FWD - Dẫn động cầu trước,0,5,4,Đen,Kem,Xe đã dùng
Mercedes Benz G class G63 AMG,Mercedes,8 Tỷ 799 Triệu,https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2021-6362434,2021,Nhập khẩu,Số tự động,SUV,Xăng 4.0 L,AWD - 4 bánh toàn thời gian,32000,5,5,Xanh,Đỏ,Xe đã dùng
Toyota Land Cruiser V6,Toyota,5 Tỷ 430 Triệu,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2024-6091179,2024,Nhập khẩu,Số tự động,SUV,Xăng 3.4 L,AWD - 4 bánh toàn thời gian,900,7,5,Trắng,Đen,Xe đã dùng
BMW Series 530i,BMW,1 Tỷ 189 Triệu,https://bonbanh.com/xe-bmw-5_series-530i-2019-6385552,2019,Nhập khẩu,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,60000,5,4,Đen,Nâu,Xe đã dùng
BMW Series 730Li,BMW,1 Tỷ 850 Triệu,https://bonbanh.com/xe-bmw-7_series-730li-2018-6238834,2018,Nhập khẩu,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,70000,5,4,Trắng,Nâu,Xe đã dùng
Toyota Land Cruiser V6,Toyota,4 Tỷ 750 Triệu,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2022-6091175,2022,Nhập khẩu,Số tự động,SUV,Xăng 3.4 L,AWD - 4 bánh toàn thời gian,38000,7,5,Trắng,Kem,Xe đã dùng
Mazda Deluxe,Mazda,519 Triệu,https://bonbanh.com/xe-mazda-3-1.5l-deluxe-2023-6326709,2023,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,26000,5,4,Trắng,Đen,Xe đã dùng
Mercedes Benz C class C300 AMG,Mercedes,655 Triệu,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2016-6382310,2016,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,113688,5,4,Đen,Đỏ,Xe đã dùng
Hyundai Tucson Turbo HTRAC Đặc biệt,Hyundai,850 Triệu,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-htrac-dac-biet-2022-6367484,2022,Lắp ráp trong nước,Số tự động,Crossover,Xăng 1.6 L,AWD - 4 bánh toàn thời gian,39000,5,5,Trắng,Đen,Xe đã dùng
Ford Everest Titanium,Ford,830 Triệu,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x4-at-2018-6387072,2018,Nhập khẩu,Số tự động,SUV,Dầu 2.0 L,4WD - Dẫn động 4 bánh,170000,7,5,Đen,Đen,Xe đã dùng
VinFast Lux SA Premium,Vinfast,720 Triệu,https://bonbanh.com/xe-vinfast-lux_sa_2.0-premium-2.0-at-2020-6387013,2020,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,38000,7,5,Trắng,Nâu,Xe đã dùng
Toyota Vios .5G,Toyota,395 Triệu,https://bonbanh.com/xe-toyota-vios-1.5g-2019-6386973,2019,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,44008,5,4,Đỏ,Kem,Xe đã dùng
Honda CRV TG,Honda,535 Triệu,https://bonbanh.com/xe-honda-crv-2.4-at---tg-2017-6386521,2017,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.4 L,FWD - Dẫn động cầu trước,90000,5,5,Trắng,Đen,Xe đã dùng
Mercedes Benz C class C200,Mercedes,596 Triệu,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2015-6087309,2015,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,122000,5,4,Trắng,Đen,Xe đã dùng
Toyota Corolla altis .0V,Toyota,410 Triệu,https://bonbanh.com/xe-toyota-corolla_altis-2.0v-2015-6322798,2015,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,FWD - Dẫn động cầu trước,80000,5,4,Xanh,Đen,Xe đã dùng
Toyota Camry .5Q,Toyota,586 Triệu,https://bonbanh.com/xe-toyota-camry-2.5q-2015-6374050,2015,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.5 L,FWD - Dẫn động cầu trước,72000,5,4,Đen,Đen,Xe đã dùng
Hyundai Getz,Hyundai,159 Triệu,https://bonbanh.com/xe-hyundai-getz-1.4-at-2008-6386687,2008,Nhập khẩu,Số tự động,Hatchback,Xăng 1.4 L,FWD - Dẫn động cầu trước,110000,5,5,Bạc,Đen,Xe đã dùng
BMW Series 730Li M Sport,BMW,2 Tỷ 550 Triệu,https://bonbanh.com/xe-bmw-7_series-730li-m-sport-2020-6339999,2020,Nhập khẩu,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,51000,5,4,Đen,Kem,Xe đã dùng
Hyundai i10,Hyundai,353 Triệu,https://bonbanh.com/xe-hyundai-i10-1.2-at-2022-6386663,2022,Lắp ráp trong nước,Số tự động,Hatchback,Xăng 1.25 L,FWD - Dẫn động cầu trước,44268,5,5,Trắng,Kem,Xe đã dùng
Hyundai Elantra,Hyundai,385 Triệu,https://bonbanh.com/xe-hyundai-elantra-1.6-mt-2020-6282285,2020,Lắp ráp trong nước,Số tay,Sedan,Xăng 1.6 L,FWD - Dẫn động cầu trước,55000,5,4,Đen,Kem,Xe đã dùng
Toyota Vios .5E,Toyota,365 Triệu,https://bonbanh.com/xe-toyota-vios-1.5e-cvt-2019-6299971,2019,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,8,5,4,Trắng,Kem,Xe đã dùng
Mercedes Benz GLC 4Matic,Mercedes,760 Triệu,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2017-6386487,2017,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,45000,5,5,Bạc,Nâu,Xe đã dùng
Toyota Corolla Cross .8HV,Toyota,750 Triệu,https://bonbanh.com/xe-toyota-corolla_cross-1.8hv-2021-6321647,2021,Nhập khẩu,Số tự động,SUV,Hybrid 1.8 L,FWD - Dẫn động cầu trước,45000,5,5,Trắng,Đen,Xe đã dùng
Chevrolet Trailblazer LTZ VGT,Chevrolet,570 Triệu,https://bonbanh.com/xe-chevrolet-trailblazer-ltz-2.5l-vgt-4x4-at-2019-6343986,2019,Nhập khẩu,Số tự động,SUV,Dầu 2.5 L,AWD - 4 bánh toàn thời gian,56000,7,5,Trắng,Đen,Xe đã dùng
Kia Forte SLi,Kia,235 Triệu,https://bonbanh.com/xe-kia-forte-sli-1.6-at-2009-6386438,2009,Nhập khẩu,Số tự động,Sedan,Xăng 1.6 L,FWD - Dẫn động cầu trước,170000,5,4,Bạc,Đen,Xe đã dùng
Mercedes Benz G class G63 AMG,Mercedes,7 Tỷ 690 Triệu,https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2020-6386421,2020,Nhập khẩu,Số tự động,SUV,Xăng 4.0 L,AWD - 4 bánh toàn thời gian,37000,5,5,Đen,Xám,Xe đã dùng
Kia Seltos Deluxe,Kia,520 Triệu,https://bonbanh.com/xe-kia-seltos-deluxe-1.4-at-2021-6386382,2021,Lắp ráp trong nước,Số tự động,Crossover,Xăng 1.4 L,FWD - Dẫn động cầu trước,60000,5,5,Đỏ,Đen,Xe đã dùng
Hyundai Elantra Tiêu chuẩn,Hyundai,520 Triệu,https://bonbanh.com/xe-hyundai-elantra-1.6-at-tieu-chuan-2022-6386381,2022,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.6 L,FWD - Dẫn động cầu trước,30000,5,4,Trắng,Đen,Xe đã dùng
Ford Ranger XLS,Ford,360 Triệu,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-mt-2016-6386362,2016,Nhập khẩu,Số tay,Bán tải / Pickup,Dầu 2.2 L,RFD - Dẫn động cầu sau,180,5,4,Trắng,Nhiều màu,Xe đã dùng
Toyota Vios G,Toyota,503 Triệu,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2024-6386340,2024,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,7900,5,4,Trắng,Đen,Xe đã dùng
Lexus RX,Lexus,2 Tỷ 890 Triệu,https://bonbanh.com/xe-lexus-rx-300-2021-6343238,2021,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,47000,5,5,Trắng,Nâu,Xe đã dùng
Lexus RX,Lexus,735 Triệu,https://bonbanh.com/xe-lexus-rx-350-awd-2010-6386172,2010,Nhập khẩu,Số tự động,SUV,Xăng 3.5 L,AWD - 4 bánh toàn thời gian,10000,5,5,Trắng,Kem,Xe đã dùng
Mazda,Mazda,59 Triệu,https://bonbanh.com/xe-mazda-626-2.0-mt-1995-6386098,1995,Nhập khẩu,Số tay,Sedan,Xăng 2.0 L,FWD - Dẫn động cầu trước,1500000,5,4,Đỏ,Kem,Xe đã dùng
Toyota Camry .0E,Toyota,310 Triệu,https://bonbanh.com/xe-toyota-camry-2.0e-2010-6386085,2010,Nhập khẩu,Số tự động,Sedan,Xăng 2.0 L,FWD - Dẫn động cầu trước,20000,5,4,Đen,Đen,Xe đã dùng
Mercedes Benz E class E280,Mercedes,185 Triệu,https://bonbanh.com/xe-mercedes_benz-e_class-e280-2006-6386048,2006,Lắp ráp trong nước,Số tự động,Sedan,Xăng 3.0 L,RFD - Dẫn động cầu sau,0,5,4,Đen,Đen,Xe đã dùng
Honda CRV L,Honda,935 Triệu,https://bonbanh.com/xe-honda-crv-l-2023-6385959,2023,Lắp ráp trong nước,Số tự động,SUV,Xăng 1.5 L,FWD - Dẫn động cầu trước,32000,7,5,Trắng,Đen,Xe đã dùng
Kia Morning SX,Kia,145 Triệu,https://bonbanh.com/xe-kia-morning-sx-1.1-at-2011-6385723,2011,Lắp ráp trong nước,Số tự động,Hatchback,Xăng 1.1 L,FWD - Dẫn động cầu trước,0,5,5,Bạc,Nhiều màu,Xe đã dùng
Mercedes Benz E class E250,Mercedes,278 Triệu,https://bonbanh.com/xe-mercedes_benz-e_class-e250-2009-6261966,2009,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.8 L,RFD - Dẫn động cầu sau,12000,5,4,Đen,Đen,Xe đã dùng
Mini One,Mini,1 Tỷ 368 Triệu,https://bonbanh.com/xe-mini-one-1.5-at-2022-6385772,2022,Nhập khẩu,Số tự động,Hatchback,Xăng 1.5 L,FWD - Dẫn động cầu trước,12000,5,5,Vàng,Đen,Xe đã dùng
Toyota Corolla altis .8G,Toyota,120 Triệu,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-mt-2003-6385727,2003,Lắp ráp trong nước,Số tay,Sedan,Xăng 1.8 L,FWD - Dẫn động cầu trước,9999,5,4,Trắng,Nhiều màu,Xe đã dùng
Peugeot Allure,Peugeot,675 Triệu,https://bonbanh.com/xe-peugeot-5008-allure-1.6-at-2020-6385705,2020,Lắp ráp trong nước,Số tự động,SUV,Xăng 1.6 L,FWD - Dẫn động cầu trước,0,7,5,Đen,Đen,Xe đã dùng
Lexus RX Luxury,Lexus,4 Tỷ 79 Triệu,https://bonbanh.com/xe-lexus-rx-350-luxury-2023-6087336,2023,Nhập khẩu,Số tự động,SUV,Xăng 2.4 L,AWD - 4 bánh toàn thời gian,10000,5,5,Đỏ,Đen,Xe đã dùng
Toyota Camry LE,Toyota,320 Triệu,https://bonbanh.com/xe-toyota-camry-le-2.4-2007-6385687,2007,Nhập khẩu,Số tự động,Sedan,Xăng 2.4 L,FWD - Dẫn động cầu trước,80000,5,4,Đen,Kem,Xe đã dùng
Ford Ranger Raptor,Ford,950 Triệu,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2022-6385585,2022,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.0 L,4WD - Dẫn động 4 bánh,55000,5,4,Đen,Đen,Xe đã dùng
Toyota Fortuner .5G,Toyota,498 Triệu,https://bonbanh.com/xe-toyota-fortuner-2.5g-2015-6385543,2015,Lắp ráp trong nước,Số tay,SUV,Dầu 2.5 L,RFD - Dẫn động cầu sau,150000,7,5,Bạc,Nâu,Xe đã dùng
Honda Civic,Honda,228 Triệu,https://bonbanh.com/xe-honda-civic-1.8-at-2008-6385526,2008,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.8 L,FWD - Dẫn động cầu trước,0,5,4,Xám,Vàng,Xe đã dùng
Kia Morning Van,Kia,65 Triệu,https://bonbanh.com/xe-kia-morning-van-1.0-mt-2010-6385456,2010,Nhập khẩu,Số tay,Van/Minivan,Xăng 1.0 L,FWD - Dẫn động cầu trước,0,2,5,Trắng,Kem,Xe đã dùng
Hyundai Tucson Tiêu chuẩn,Hyundai,620 Triệu,https://bonbanh.com/xe-hyundai-tucson-2.0-at-tieu-chuan-2021-6260438,2021,Lắp ráp trong nước,Số tự động,Crossover,Xăng 2.0 L,FWD - Dẫn động cầu trước,71000,5,5,Trắng,Kem,Xe đã dùng
Cadillac Escalade EXT,Cadillac,999 Triệu,https://bonbanh.com/xe-cadillac-escalade-ext-6.0-at-awd-2002-5951743,2002,Nhập khẩu,Số tự động,Bán tải / Pickup,Xăng 6.0 L,AWD - 4 bánh toàn thời gian,35687,5,4,Vàng,Kem,Xe đã dùng
Mercedes Benz C class C200 Exclusive,Mercedes,995 Triệu,https://bonbanh.com/xe-mercedes_benz-c_class-c200-exclusive-2020-6385392,2020,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,RFD - Dẫn động cầu sau,64000,5,4,Đen,Kem,Xe đã dùng
Ford Ranger Raptor,Ford,1 Tỷ 219 Triệu,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2025-6385395,2025,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.0 L,4WD - Dẫn động 4 bánh,858,5,4,Đen,Nhiều màu,Xe đã dùng
Toyota Innova .0G,Toyota,355 Triệu,https://bonbanh.com/xe-toyota-innova-2.0g-2016-6385328,2016,Lắp ráp trong nước,Số tự động,Crossover,Xăng 2.0 L,RFD - Dẫn động cầu sau,160000,8,5,Cát,Kem,Xe đã dùng
Mitsubishi Xpander,Mitsubishi,380 Triệu,https://bonbanh.com/xe-mitsubishi-xpander-1.5-mt-2019-6371128,2019,Nhập khẩu,Số tay,SUV,Xăng 1.5 L,FWD - Dẫn động cầu trước,90000,7,5,Nâu,Kem,Xe đã dùng
VinFast VF3 Plus,Vinfast,232 Triệu,https://bonbanh.com/xe-vinfast-vf3-plus-2024-6385139,2024,Lắp ráp trong nước,Số tự động,Hatchback,Điện,RFD - Dẫn động cầu sau,8000,4,5,Xám,Xám,Xe đã dùng
Ford Ranger Wildtrak,Ford,528 Triệu,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2018-6294280,2018,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.0 L,4WD - Dẫn động 4 bánh,120000,5,4,Trắng,Đen,Xe đã dùng
VinFast Fadil,Vinfast,305 Triệu,https://bonbanh.com/xe-vinfast-fadil-1.4-at-2021-6385155,2021,Lắp ráp trong nước,Số tự động,Hatchback,Xăng 1.4 L,FWD - Dẫn động cầu trước,50000,5,5,Trắng,Đen,Xe đã dùng
Mercedes Benz C class C180,Mercedes,760 Triệu,https://bonbanh.com/xe-mercedes_benz-c_class-c180-2020-6385141,2020,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,RFD - Dẫn động cầu sau,70000,5,4,Đỏ,Kem,Xe đã dùng
Mercedes Benz C class C200,Mercedes,999 Triệu,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2018-6385112,2018,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,180000,5,4,Đen,Kem,Xe đã dùng
Mitsubishi Pajero,Mitsubishi,195 Triệu,https://bonbanh.com/xe-mitsubishi-pajero-3.0-2010-6385008,2010,Nhập khẩu,Số tay,SUV,Xăng 3.0 L,4WD - Dẫn động 4 bánh,156000,7,5,Bạc,Đen,Xe đã dùng
Toyota Crown Royal Saloon,Toyota,299 Triệu,https://bonbanh.com/xe-toyota-crown-royal-saloon-3.0-at-1995-6384937,1995,Nhập khẩu,Số tự động,Sedan,Xăng 3.0 L,RFD - Dẫn động cầu sau,200000,5,4,Đen,Đen,Xe đã dùng
Porsche Cayman,Porsche,3 Tỷ 980 Triệu,https://bonbanh.com/xe-porsche-718-cayman-2.0-at-2022-6094430,2022,Nhập khẩu,Số tự động,Coupe,Xăng 2.0 L,RFD - Dẫn động cầu sau,15000,2,2,Hồng,Kem,Xe đã dùng
Toyota Fortuner .4G,Toyota,786 Triệu,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-at-2019-6370657,2019,Lắp ráp trong nước,Số tự động,SUV,Dầu 2.4 L,RFD - Dẫn động cầu sau,97000,7,5,Nâu,Đen,Xe đã dùng
Toyota Vios .5G,Toyota,379 Triệu,https://bonbanh.com/xe-toyota-vios-1.5g-2019-6349888,2019,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,87000,5,4,Trắng,Kem,Xe đã dùng
Hyundai Accent,Hyundai,425 Triệu,https://bonbanh.com/xe-hyundai-accent-1.4-at-2022-6384588,2022,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.4 L,FWD - Dẫn động cầu trước,40000,5,4,Trắng,Kem,Xe đã dùng
Jaguar XJ series XJL Portfolio,Jaguar,1 Tỷ 939 Triệu,https://bonbanh.com/xe-jaguar-xj_series-xjl-3.0-portfolio-2016-6086265,2016,Nhập khẩu,Số tự động,Sedan,Xăng 3.0 L,RFD - Dẫn động cầu sau,30000,5,4,Trắng,Nâu,Xe đã dùng
Toyota Innova .0E,Toyota,289 Triệu,https://bonbanh.com/xe-toyota-innova-2.0e-2015-6383936,2015,Lắp ráp trong nước,Số tay,Crossover,Xăng 2.0 L,RFD - Dẫn động cầu sau,0,8,5,Bạc,Kem,Xe đã dùng
Ford Territory Titanium X,Ford,800 Triệu,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2023-6384334,2023,Lắp ráp trong nước,Số tự động,SUV,Xăng 1.5 L,FWD - Dẫn động cầu trước,21000,5,5,Đen,Đen,Xe đã dùng
Honda CRV,Honda,430 Triệu,https://bonbanh.com/xe-honda-crv-2.4-at-2014-6384343,2014,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.4 L,FWD - Dẫn động cầu trước,67000,5,5,Tím,Đen,Xe đã dùng
Honda Civic,Honda,205 Triệu,https://bonbanh.com/xe-honda-civic-1.8-at-2010-6384079,2010,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.8 L,FWD - Dẫn động cầu trước,0,5,4,Bạc,Vàng,Xe đã dùng
Mercedes Benz GLC 4Matic,Mercedes,1 Tỷ 670 Triệu,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-6384045,2021,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,80000,5,5,Trắng,Đen,Xe đã dùng
